;frequency;date;# trans;oper #1;oper #2;oper #3;oper #4;oper #5;type #1;type #2;type #3;avg trans amount;avg trans balance;loan date;loan amount;loan duration (mths);loan payments;loan status;district_region;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;unemploymant rate '95 ;unemploymant rate '96 ;no. of enterpreneurs per 1000 inhabitants ;no. of commited crimes '95 ;no. of commited crimes '96 ;card type;issued;birthdate;sex;has disponent
0;monthly issuance;1993-01-13;53.0;1.0;0.0;11.0;0.0;31.0;28.0;3.0;22.0;17600.36;69954.57;1993-11-22;79608;24;3317;1;east Bohemia;105606;77;26;7;2;7;53.0;8254;2.79;3.76;97;2166;2325;;;1970-04-28;M;False
1;weekly issuance;1993-05-21;56.0;3.0;0.0;10.0;6.0;27.0;32.0;1.0;23.0;5778.79;29069.12;1994-04-07;149340;60;2489;1;east Bohemia;105606;77;26;7;2;7;53.0;8254;2.79;3.76;97;2166;2325;;;1963-02-01;M;False
2;weekly issuance;1993-07-07;60.0;2.0;0.0;10.0;0.0;38.0;33.0;5.0;22.0;13255.8;55570.3;1994-06-05;77640;12;6470;1;east Bohemia;105606;77;26;7;2;7;53.0;8254;2.79;3.76;97;2166;2325;;;1967-07-10;M;False
3;monthly issuance;1994-05-26;117.0;26.0;0.0;0.0;0.0;71.0;70.0;1.0;46.0;10720.31;46487.0;1996-04-18;277884;36;7719;-1;east Bohemia;105606;77;26;7;2;7;53.0;8254;2.79;3.76;97;2166;2325;;;1980-09-17;F;False
4;weekly issuance;1994-06-05;130.0;40.0;0.0;0.0;12.0;62.0;72.0;2.0;56.0;15168.36;63527.42;1995-10-02;314520;60;5242;1;east Bohemia;105606;77;26;7;2;7;53.0;8254;2.79;3.76;97;2166;2325;;;1955-11-18;F;False
5;monthly issuance;1993-01-14;43.0;14.0;0.0;0.0;8.0;14.0;22.0;0.0;21.0;3714.9;22198.18;1993-09-15;52788;12;4399;1;south Bohemia;58796;22;16;7;1;5;51.9;9045;3.13;3.6;124;1845;1879;;;1973-02-16;M;False
6;monthly issuance;1993-11-26;33.0;3.0;0.0;6.0;0.0;12.0;11.0;1.0;21.0;4041.38;28362.25;1994-06-06;87216;48;1817;-1;south Bohemia;58796;22;16;7;1;5;51.9;9045;3.13;3.6;124;1845;1879;;;1964-05-13;M;False
7;monthly issuance;1994-06-04;78.0;5.0;0.0;15.0;0.0;44.0;38.0;6.0;34.0;4644.44;30812.95;1995-08-18;21396;12;1783;1;south Bohemia;58796;22;16;7;1;5;51.9;9045;3.13;3.6;124;1845;1879;;;1968-09-09;M;True
8;monthly issuance;1996-02-27;39.0;13.0;0.0;0.0;4.0;17.0;16.0;5.0;18.0;15332.39;53505.22;1996-08-09;44376;12;3698;1;south Bohemia;58796;22;16;7;1;5;51.9;9045;3.13;3.6;124;1845;1879;;;1962-05-23;M;False
9;monthly issuance;1993-01-17;45.0;12.0;0.0;0.0;5.0;19.0;24.0;0.0;21.0;5957.54;34272.21;1993-11-10;21924;36;609;1;south Moravia;157042;49;70;18;0;9;33.9;8743;1.88;2.43;111;3659;3894;;;1960-08-20;M;True
