account_id,balance_mean,balance_max,balance_min,balance_std,last_balance,first_balance,last_trans_date,last_trans,reached_negative_balance,credit_mean,credit_count,credit_max,credit_min,credit_std,withdrawal_mean,withdrawal_count,withdrawal_max,withdrawal_min,withdrawal_std,household,pension,unknown_mean,unknown_sum,unknown_count,unknown_std,payment_statement_mean,payment_statement_sum,payment_statement_count,ins_payment_mean,ins_payment_sum,ins_payment_count,sanctions_mean,sanctions_sum,sanctions_count,sanctions_std,CC,CC_mean,CC_sum,CC_max,CC_std,CC_min,CAB,CAB_mean,CAB_sum,CAB_max,CAB_std,CAB_min,IC,IC_mean,IC_sum,IC_max,IC_std,IC_min,WC,WC_mean,WC_sum,WC_max,WC_std,WC_min,RAB,RAB_mean,RAB_sum,RAB_max,RAB_std,RAB_min,CCW,CCW_mean,CCW_sum,CCW_max,CCW_std,CCW_min,mean_trans_profit,total_ops,credit_ratio,withdrawal_ratio,balance_range,last_first_balance_ratio,last_max_balance_ratio,ratio_CC,ratio_CAB,ratio_WC,ratio_RAB,ratio_CCW,ratio_IC
1,17558.700000000004,30414.8,1000.0,4168.729384185477,12659.9,1000.0,1996-12-31,-14.6,1.0,1992.6019999999996,50,12600.0,19.2,2298.08002191803,-1380.479365079365,63.0,-14.6,-7500.0,1463.225674627777,-2452.0,0.0,857.1016949152543,50569.0,59,3136.0995580108265,-14.599999999999996,-248.19999999999993,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2600.0,20800.0,12600.0,4120.679555607303,100.0,21.0,3679.0,77259.0,3679.0,0.0,3679.0,21.0,74.81428571428573,1571.1000000000004,108.9,18.91079812472984,19.2,47.0,-1015.706382978723,-47738.19999999998,-14.6,1533.109438137473,-7500.0,16.0,-2452.0,-39232.0,-2452.0,0.0,-2452.0,0.0,0.0,0.0,0.0,0.0,0.0,612.1226349206347,113.0,0.4424778761061947,0.5575221238938053,29414.8,12.6599,0.4162414350908111,0.07079646017699115,0.18584070796460178,0.415929203539823,0.1415929203539823,0.0,0.18584070796460178
2,32590.624074074083,67529.6,1100.0,12061.70568187609,27840.6,1100.0,1993-12-31,-14.6,1.0,10394.786363636364,22,30354.0,13.5,11457.269613210872,-6276.39375,32.0,-14.6,-22400.0,6011.475326940242,-7266.0,0.0,1908.1515151515152,62969.0,33,14927.23961864938,-14.6,-87.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2400.0,4800.0,3700.0,1838.4776310850236,1100.0,10.0,22259.6,222596.0,30354.0,4266.123382077822,20236.0,10.0,128.93,1289.3,203.0,49.41360698790927,13.5,27.0,-6093.133333333335,-164514.60000000003,-14.6,6547.07663147924,-22400.0,5.0,-7266.0,-36330.0,-7266.0,0.0,-7266.0,0.0,0.0,0.0,0.0,0.0,0.0,4118.392613636363,54.0,0.4074074074074074,0.5925925925925926,66429.6,25.30963636363636,0.41227254418803005,0.037037037037037035,0.18518518518518517,0.5,0.09259259259259259,0.0,0.18518518518518517
4,23648.62307692307,30623.5,800.0,5779.862046134679,24943.0,800.0,1996-12-31,-14.6,1.0,3348.264705882353,17,5553.0,66.6,2721.1281764052333,-1453.5272727272727,22.0,-14.6,-4100.0,1147.9346929249848,-2078.0,5553.0,-1725.0,-20700.0,12,1261.0944020608017,-14.6,-87.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,800.0,800.0,800.0,0.0,800.0,10.0,5553.0,55530.0,5553.0,0.0,5553.0,6.0,98.41666666666667,590.5,110.0,16.204865524485747,66.6,11.0,-1261.6000000000001,-13877.600000000002,-14.6,1585.7931390947558,-4100.0,11.0,-1645.4545454545455,-18100.0,-1285.0,414.1307435186052,-2078.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.7374331550805,39.0,0.4358974358974359,0.5641025641025641,29823.5,31.17875,0.8145052002547064,0.02564102564102564,0.2564102564102564,0.28205128205128205,0.28205128205128205,0.0,0.15384615384615385
6,30313.27983870967,40391.5,900.0,5582.6760409509825,33509.2,900.0,1996-12-31,-14.6,1.0,3603.6666666666665,51,6669.0,70.3,3285.4107797148695,-2058.600000000001,73.0,-14.6,-11600.0,2064.8577150334922,-3954.0,6669.0,-2075.0,-58100.0,28,2252.6256285104773,-14.600000000000003,-335.80000000000007,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,900.0,900.0,900.0,0.0,900.0,27.0,6669.0,180063.0,6669.0,0.0,6669.0,23.0,122.78260869565217,2824.0,146.3,17.056261238349688,70.3,50.0,-1186.7159999999997,-59335.79999999998,-14.6,1950.1143841240046,-11600.0,23.0,-3954.0,-90942.0,-3954.0,0.0,-3954.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0666666666657,124.0,0.4112903225806452,0.5887096774193549,39491.5,37.23244444444444,0.8296101902628027,0.008064516129032258,0.21774193548387097,0.4032258064516129,0.18548387096774194,0.0,0.18548387096774194
7,23088.85,34875.0,900.0,15114.749329380227,28305.4,900.0,1996-12-31,30.4,1.0,11635.133333333333,3,33975.0,30.4,19351.77725826063,-6600.0,1.0,-6600.0,-6600.0,0.0,0.0,0.0,9425.0,28275.0,3,21589.103154137738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17437.5,34875.0,33975.0,23387.55678774506,900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.4,30.4,30.4,0.0,30.4,1.0,-6600.0,-6600.0,-6600.0,0.0,-6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5035.133333333333,4.0,0.75,0.25,33975.0,31.450444444444447,0.8116243727598567,0.5,0.0,0.25,0.0,0.0,0.25
8,49640.43999999996,75952.3,900.0,11961.389764314896,42019.6,900.0,1996-12-31,-14.6,1.0,10792.256250000002,32,30712.0,37.1,11567.986466187413,-5723.256603773586,53.0,-14.6,-17700.0,4972.015267532929,-2612.0,0.0,1416.5833333333333,67996.0,48,15106.047099477453,-14.599999999999996,-160.59999999999997,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,20143.29411764706,342436.0,30712.0,7814.646775164457,900.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.41333333333333,2916.2,246.8,54.63912604753205,37.1,32.0,-6483.768750000002,-207480.60000000006,-14.6,6092.632553123405,-17700.0,21.0,-4564.380952380952,-95852.0,-2612.0,2098.2418944485516,-6712.0,0.0,0.0,0.0,0.0,0.0,0.0,5068.999646226416,85.0,0.3764705882352941,0.6235294117647059,75052.3,46.68844444444444,0.5532367025093381,0.2,0.0,0.3764705882352941,0.24705882352941178,0.0,0.17647058823529413
9,27558.12040816329,78753.0,400.0,9954.96273814525,32849.8,400.0,1996-12-31,146.5,1.0,1752.9507812499996,128,45691.0,5.4,4642.20213352492,-1637.1145299145314,117.0,-14.6,-23500.0,3341.4230564666686,0.0,0.0,183.87662337662337,28317.0,154,5561.930706216787,-14.600000000000012,-642.4000000000005,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,2706.382716049383,219217.0,45691.0,5630.572718578238,200.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,109.80212765957448,5160.700000000001,236.6,35.673650544915354,5.4,117.0,-1637.1145299145314,-191542.40000000017,-14.6,3341.4230564666695,-23500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.8362513354682,245.0,0.5224489795918368,0.4775510204081633,78353.0,82.12450000000001,0.41712442700595537,0.3306122448979592,0.0,0.4775510204081633,0.0,0.0,0.19183673469387755
10,35311.86153846154,65638.5,1100.0,16648.7150075483,48008.1,1100.0,1996-12-31,169.5,1.0,8430.8,10,26529.0,12.2,10235.537891635746,-12100.0,3.0,-7000.0,-17800.0,5424.942396007537,0.0,0.0,5287.444444444444,47587.0,9,15411.432486234944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13981.166666666666,83887.0,26529.0,9805.952282499984,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,105.25,421.0,169.5,68.4848645079091,12.2,3.0,-12100.0,-36300.0,-7000.0,5424.942396007537,-17800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3669.2000000000007,13.0,0.7692307692307693,0.23076923076923078,64538.5,43.64372727272727,0.7314015402545762,0.46153846153846156,0.0,0.23076923076923078,0.0,0.0,0.3076923076923077
11,20782.166071428568,31304.6,300.0,7145.898033348208,28887.0,300.0,1996-12-31,-14.6,1.0,1734.183870967742,31,3494.0,10.2,1732.787242007661,-994.904,25.0,-14.6,-2132.0,1037.6487750679419,0.0,0.0,933.2666666666667,27998.0,30,2675.9826030738736,-14.599999999999996,-160.59999999999997,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,300.0,300.0,300.0,0.0,300.0,15.0,3494.0,52410.0,3494.0,0.0,3494.0,15.0,69.98000000000002,1049.7000000000003,119.0,39.4202848435023,10.2,14.0,-101.47142857142856,-1420.6,-14.6,184.63986747000405,-600.0,11.0,-2132.0,-23452.0,-2132.0,0.0,-2132.0,0.0,0.0,0.0,0.0,0.0,0.0,739.279870967742,56.0,0.5535714285714286,0.44642857142857145,31004.6,96.29,0.9227717332277046,0.017857142857142856,0.26785714285714285,0.25,0.19642857142857142,0.0,0.26785714285714285
14,18106.9,24753.6,400.0,11850.414064777091,24753.6,400.0,1996-12-31,16.6,1.0,6188.4,4,22137.0,16.6,10674.921800181957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8245.666666666666,24737.0,3,12063.865729248371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8245.666666666666,24737.0,22137.0,12063.865729248371,400.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.6,16.6,16.6,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6188.4,4.0,1.0,0.0,24353.6,61.88399999999999,1.0,0.75,0.0,0.0,0.0,0.0,0.25
