loan_id;loan status;age at loan (Years);acc age at loan (Years);# trans;oper #1;oper #2;oper #3;oper #4;oper #5;type #1;type #2;type #3;avg trans amount;avg trans balance;loan amount;loan duration (mths);loan payments;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;no. of enterpreneurs per 1000 inhabitants ;sex;has disponent;unemploymant rate;no. of commited crimes per capita;account_year;account_month;account_day;loan_year;loan_month;loan_day;birth_year;birth_month;birth_day;frequency_issuance after transaction;frequency_monthly issuance;frequency_weekly issuance;card_owner;card type_None;card type_classic;card type_gold;card type_junior
6173;;57.70294318959617;1.7248459958932238;176.0;3.0;0.0;20.0;61.0;72.0;126.0;7.0;43.0;7217.39;40175.61;232560;48;4845;177686;69;27;10;1;9;74.8;10045;135;F;False;1.565;0.03629717591706719;1995;4;19;1997;1;8;1939;4;27;1;0;0;0;1;0;0;0
5889;;28.046543463381244;1.434633812457221;136.0;38.0;0.0;0.0;0.0;81.0;74.0;7.0;55.0;13228.34;76826.46;321240;60;5354;177686;69;27;10;1;9;74.8;10045;135;M;False;1.565;0.03629717591706719;1996;9;3;1998;2;9;1970;1;23;0;1;0;0;1;0;0;0
6705;;21.0403832991102;0.8514715947980835;97.0;25.0;0.0;0.0;14.0;40.0;50.0;4.0;43.0;12692.52;61748.7;333648;48;6951;177686;69;27;10;1;9;74.8;10045;135;F;False;1.565;0.03629717591706719;1996;9;17;1997;7;25;1976;7;10;0;1;0;0;1;0;0;0
5036;;25.87816563997262;1.5852156057494866;99.0;21.0;0.0;0.0;0.0;60.0;60.0;0.0;39.0;7918.74;30173.12;91248;48;1901;177686;69;27;10;1;9;74.8;10045;135;F;False;1.565;0.03629717591706719;1997;4;25;1998;11;25;1973;1;8;0;1;0;0;1;0;0;0
7115;;36.34496919917864;1.834360027378508;131.0;33.0;0.0;0.0;18.0;58.0;76.0;0.0;55.0;2751.43;18675.06;88704;48;1848;87419;21;11;4;3;9;85.5;8624;102;F;True;2.225;0.03475789016117778;1995;5;4;1997;3;4;1960;10;29;0;1;0;0;1;0;0;0
6605;;46.36002737850787;1.5523613963039014;105.0;29.0;0.0;0.0;15.0;43.0;58.0;0.0;47.0;2747.93;23918.49;79344;48;1653;87419;21;11;4;3;9;85.5;8624;102;F;False;2.225;0.03475789016117778;1996;3;26;1997;10;14;1951;6;5;0;1;0;0;1;0;0;0
6095;;43.860369609856264;1.6892539356605065;114.0;21.0;0.0;0.0;15.0;59.0;74.0;0.0;40.0;9042.85;41735.42;68340;60;1139;149893;63;29;6;2;6;67.4;9753;109;M;False;4.845;0.03714649783512239;1995;5;18;1997;1;24;1953;3;16;0;1;0;0;1;0;0;0
6075;;24.10130047912389;1.8726899383983573;152.0;40.0;0.0;0.0;0.0;90.0;76.0;14.0;62.0;12539.06;45330.92;129312;24;5388;149893;63;29;6;2;6;67.4;9753;109;F;False;4.845;0.03714649783512239;1996;1;12;1997;11;26;1973;10;20;0;1;0;0;1;0;0;0
7049;;38.34907597535934;0.6954140999315537;49.0;2.0;0.0;8.0;16.0;16.0;32.0;0.0;17.0;13561.89;54476.86;233424;36;6484;149893;63;29;6;2;6;67.4;9753;109;M;False;4.845;0.03714649783512239;1996;10;13;1997;6;24;1959;2;17;0;0;1;0;1;0;0;0
7250;;33.80424366872006;1.754962354551677;119.0;23.0;0.0;0.0;0.0;75.0;71.0;4.0;44.0;6722.08;42572.41;119136;48;2482;114006;71;26;6;2;9;62.3;9065;123;F;False;4.925;0.03645860744171359;1995;6;2;1997;3;4;1963;5;15;0;1;0;0;1;0;0;0
6875;;55.35386721423682;1.7193702943189597;139.0;23.0;0.0;0.0;0.0;76.0;76.0;0.0;63.0;4958.8;39962.47;83280;48;1735;114006;71;26;6;2;9;62.3;9065;123;F;False;4.925;0.03645860744171359;1995;6;24;1997;3;13;1941;11;4;0;1;0;0;1;0;0;0
5773;;37.7741273100616;1.9082819986310748;112.0;22.0;0.0;0.0;0.0;68.0;67.0;1.0;44.0;9549.22;42220.03;133848;24;5577;114006;71;26;6;2;9;62.3;9065;123;F;False;4.925;0.03645860744171359;1996;4;18;1998;3;16;1960;6;6;0;1;0;0;1;0;0;0
5365;;27.531827515400412;1.2539356605065024;73.0;19.0;0.0;0.0;10.0;30.0;40.0;0.0;33.0;4752.29;14873.38;271260;60;4521;114006;71;26;6;2;9;62.3;9065;123;M;False;4.925;0.03645860744171359;1997;4;17;1998;7;19;1971;1;6;0;1;0;0;1;0;0;0
5358;;57.12799452429842;1.6344969199178645;114.0;33.0;0.0;0.0;16.0;46.0;62.0;0.0;52.0;2373.27;20231.31;38520;12;3210;95907;87;25;5;2;7;59.1;8388;87;M;False;2.675;0.017339714515103175;1995;6;4;1997;1;21;1939;12;6;0;1;0;0;1;0;0;0
5674;;34.652977412731005;0.7693360711841205;58.0;19.0;0.0;0.0;0.0;32.0;28.0;4.0;26.0;14578.79;61345.1;207264;48;4318;95907;87;25;5;2;7;59.1;8388;87;M;True;2.675;0.017339714515103175;1996;9;2;1997;6;10;1962;10;15;1;0;0;0;1;0;0;0
5042;;25.127994524298426;1.6290212183436004;101.0;21.0;0.0;0.0;0.0;61.0;61.0;0.0;40.0;9274.98;42007.37;331584;48;6908;95907;87;25;5;2;7;59.1;8388;87;F;True;2.675;0.017339714515103175;1996;11;24;1998;7;12;1973;5;26;0;1;0;0;1;0;0;0
5589;;50.47775496235455;1.3963039014373717;44.0;18.0;0.0;0.0;6.0;15.0;21.0;0.0;23.0;10797.13;48798.7;390000;48;8125;95907;87;25;5;2;7;59.1;8388;87;M;False;2.675;0.017339714515103175;1997;1;11;1998;6;5;1947;12;13;1;0;0;0;1;0;0;0
5384;;33.37987679671458;0.511978097193703;27.0;8.0;0.0;0.0;2.0;11.0;13.0;0.0;14.0;7965.13;40311.64;23328;12;1944;95907;87;25;5;2;7;59.1;8388;87;F;True;2.675;0.017339714515103175;1997;9;1;1998;3;7;1964;10;19;0;1;0;0;1;0;0;0
5878;;41.05133470225873;1.7412731006160165;190.0;23.0;0.0;0.0;68.0;78.0;146.0;0.0;44.0;5633.2;44234.83;74040;12;6170;182027;17;49;12;2;7;56.4;8746;90;F;False;3.535;0.024139276041466377;1995;7;5;1997;4;1;1956;3;13;0;1;0;0;1;0;0;0
6655;;47.32922655715264;1.5249828884325805;127.0;25.0;0.0;0.0;29.0;55.0;81.0;3.0;43.0;9845.95;37448.4;260400;60;4340;182027;17;49;12;2;7;56.4;8746;90;F;False;3.535;0.024139276041466377;1996;4;8;1997;10;17;1950;6;19;0;1;0;0;1;0;0;0
6926;;46.65845311430527;1.2621492128678986;112.0;2.0;0.0;15.0;31.0;49.0;76.0;4.0;32.0;10749.78;56102.47;374760;60;6246;182027;17;49;12;2;7;56.4;8746;90;M;True;3.535;0.024139276041466377;1996;11;3;1998;2;7;1951;6;12;0;1;0;0;1;0;0;0
5520;;20.303901437371664;1.678302532511978;144.0;1.0;3.0;20.0;30.0;71.0;99.0;5.0;40.0;13155.38;54598.84;231168;48;4816;182027;17;49;12;2;7;56.4;8746;90;F;False;3.535;0.024139276041466377;1996;12;25;1998;8;30;1978;5;11;0;1;0;1;0;0;0;1
5956;;47.07460643394935;0.5585215605749486;25.0;1.0;0.0;6.0;2.0;10.0;12.0;0.0;13.0;13602.68;40044.58;168264;36;4674;182027;17;49;12;2;7;56.4;8746;90;M;False;3.535;0.024139276041466377;1997;4;14;1997;11;4;1950;10;8;0;1;0;0;1;0;0;0
5140;;26.49965776865161;0.8323066392881588;64.0;16.0;0.0;0.0;16.0;23.0;39.0;0.0;25.0;2712.96;21491.79;178500;60;2975;182027;17;49;12;2;7;56.4;8746;90;F;False;3.535;0.024139276041466377;1997;4;26;1998;2;24;1971;8;26;0;1;0;0;1;0;0;0
6346;;29.842573579739906;1.8726899383983573;62.0;17.0;0.0;0.0;0.0;29.0;25.0;4.0;33.0;9885.91;40047.08;100260;60;1671;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1995;7;8;1997;5;22;1967;7;19;0;1;0;0;1;0;0;0
6913;;31.266255989048602;1.6153319644079398;152.0;30.0;0.0;0.0;29.0;58.0;84.0;3.0;65.0;7603.8;55851.8;99936;24;4164;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1995;9;17;1997;4;29;1966;1;22;0;1;0;0;1;0;0;0
6014;;38.874743326488705;1.2621492128678986;97.0;1.0;0.0;15.0;22.0;45.0;64.0;3.0;30.0;8861.79;35478.66;165168;36;4588;1204953;0;0;0;1;1;100.0;12541;167;F;True;0.36;0.07667684963645885;1996;2;12;1997;5;18;1958;7;3;0;1;0;0;1;0;0;0
5117;;40.93360711841205;1.4647501711156743;110.0;25.0;0.0;0.0;32.0;39.0;67.0;4.0;39.0;8322.77;40141.8;76944;12;6412;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;3;3;1997;8;20;1956;9;13;0;1;0;0;1;0;0;0
5419;;47.419575633128;0.783025325119781;37.0;10.0;0.0;0.0;0.0;19.0;19.0;0.0;18.0;12449.36;44265.27;415800;60;6930;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;4;25;1997;2;5;1949;9;5;0;1;0;0;1;0;0;0
5719;;21.4072553045859;1.3963039014373717;90.0;25.0;0.0;0.0;0.0;49.0;47.0;2.0;41.0;14286.52;62387.09;271584;48;5658;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1996;4;28;1997;9;20;1976;4;24;0;1;0;0;1;0;0;0
6377;;52.79397672826831;0.8487337440109514;70.0;15.0;0.0;0.0;18.0;27.0;45.0;0.0;25.0;3752.75;29906.53;17184;12;1432;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;5;11;1997;3;17;1944;5;31;0;1;0;0;1;0;0;0
6763;;18.102669404517453;1.0924024640657084;77.0;3.0;0.0;13.0;9.0;28.0;37.0;0.0;40.0;4253.81;17535.78;88272;48;1839;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;5;16;1997;6;19;1979;5;13;0;1;0;0;1;0;0;0
5332;;31.805612594113626;1.626283367556468;107.0;20.0;7.0;0.0;0.0;62.0;69.0;0.0;38.0;8860.97;61295.97;37944;36;1054;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;6;14;1998;1;29;1966;4;10;0;1;0;1;0;1;0;0
6562;;38.58179329226557;0.6652977412731006;66.0;18.0;0.0;0.0;12.0;28.0;38.0;2.0;26.0;11653.44;60311.77;94488;24;3937;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1996;7;21;1997;3;21;1958;8;21;0;1;0;0;1;0;0;0
6962;;29.19917864476386;1.672826830937714;86.0;27.0;0.0;0.0;0.0;46.0;43.0;3.0;40.0;12324.54;43095.51;279072;48;5814;1204953;0;0;0;1;1;100.0;12541;167;M;True;0.36;0.07667684963645885;1996;7;30;1998;4;2;1969;1;19;0;0;1;0;1;0;0;0
5343;;27.540041067761805;1.1854893908281998;89.0;16.0;0.0;0.0;18.0;41.0;58.0;1.0;30.0;9539.0;51453.8;44952;24;1873;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1996;8;1;1997;10;8;1970;3;25;0;1;0;0;1;0;0;0
5823;;24.982888432580424;1.83709787816564;149.0;42.0;0.0;0.0;18.0;69.0;81.0;6.0;62.0;12327.57;49635.72;212976;36;5916;1204953;0;0;0;1;1;100.0;12541;167;F;True;0.36;0.07667684963645885;1996;8;19;1998;6;21;1973;6;27;0;1;0;0;1;0;0;0
6450;;26.518822724161534;1.8042436687200547;169.0;3.0;0.0;22.0;52.0;71.0;118.0;5.0;46.0;8040.11;42818.5;234336;48;4882;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;8;20;1998;6;10;1971;12;3;0;1;0;0;1;0;0;0
5501;;33.98494182067078;1.7467488021902806;130.0;37.0;0.0;0.0;17.0;56.0;73.0;0.0;57.0;4987.94;31673.9;136344;24;5681;1204953;0;0;0;1;1;100.0;12541;167;F;True;0.36;0.07667684963645885;1996;8;21;1998;5;21;1964;5;26;0;1;0;0;1;0;0;0
5556;;44.63518138261465;0.70362765229295;52.0;13.0;0.0;0.0;10.0;21.0;31.0;0.0;21.0;4646.15;24411.29;268320;60;4472;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;9;4;1997;5;19;1952;9;29;0;1;0;0;1;0;0;0
6766;;40.427104722792606;1.5304585900068446;126.0;1.0;0.0;18.0;13.0;60.0;69.0;4.0;53.0;11075.57;45497.74;74352;24;3098;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;10;16;1998;4;28;1957;11;23;0;1;0;0;1;0;0;0
6338;;19.15400410677618;0.8432580424366872;81.0;23.0;0.0;0.0;8.0;41.0;49.0;0.0;32.0;15753.59;63544.65;390660;60;6511;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;10;20;1997;8;24;1978;6;29;0;1;0;0;1;0;0;0
