;account_id;district_id;frequency;account_date;# transactions;# credit in cash transactions;# credit card withdrawal transactions;# collection from another bank withdrawal transactions;# remittance to another bank withdrawal transactions;# withdrawal in cash transactions;# type = withdrawal transactions;# type = withdrawal in cash transactions;# type = credit transactions;avg transaction amount;avg balance
0;576;55;monthly issuance;1993-01-01;229.0;1.0;;48.0;44.0;88.0;132.0;;97.0;2480.36;24283.2
1;3818;74;monthly issuance;1993-01-01;366.0;53.0;;;132.0;133.0;265.0;;101.0;4908.71;42826.89
2;704;55;monthly issuance;1993-01-01;320.0;50.0;;;86.0;136.0;222.0;;98.0;5622.88;34748.26
3;2378;16;monthly issuance;1993-01-01;307.0;84.0;;;47.0;128.0;164.0;11.0;132.0;13644.92;57997.03
4;2632;24;monthly issuance;1993-01-02;368.0;50.0;;;130.0;140.0;270.0;;98.0;4028.79;32355.72
5;1972;77;monthly issuance;1993-01-02;240.0;1.0;;48.0;44.0;99.0;143.0;;97.0;2044.93;22517.18
6;1539;1;issuance after transaction;1993-01-03;299.0;59.0;;;;193.0;174.0;19.0;106.0;7888.61;25449.08
7;793;47;monthly issuance;1993-01-03;327.0;1.0;;48.0;132.0;98.0;230.0;;97.0;944.57;23876.19
8;2484;74;monthly issuance;1993-01-03;403.0;50.0;;;173.0;132.0;305.0;;98.0;3823.44;31860.82
9;1695;76;monthly issuance;1993-01-03;278.0;87.0;;;35.0;108.0;129.0;14.0;135.0;12203.07;52517.11
10;1726;48;monthly issuance;1993-01-03;399.0;56.0;;;172.0;123.0;295.0;;104.0;3726.49;25957.63
11;2881;70;monthly issuance;1993-01-04;277.0;74.0;;;43.0;112.0;155.0;;122.0;3219.01;31444.04
12;2357;19;monthly issuance;1993-01-04;236.0;1.0;;48.0;43.0;96.0;139.0;;97.0;2541.11;22609.79
13;2177;62;monthly issuance;1993-01-04;238.0;1.0;;48.0;44.0;97.0;141.0;;97.0;2041.1;22068.68
14;485;6;issuance after transaction;1993-01-04;386.0;78.0;;;138.0;122.0;243.0;17.0;126.0;8516.69;45338.22
15;652;21;monthly issuance;1993-01-05;265.0;57.0;;;44.0;116.0;160.0;;105.0;5433.61;42671.14
16;9635;70;monthly issuance;1993-01-05;271.0;1.0;;48.0;;131.0;131.0;;140.0;1551.53;7418.75
17;1844;44;monthly issuance;1993-01-06;211.0;1.0;;48.0;44.0;70.0;114.0;;97.0;1365.8;25343.09
18;1926;37;monthly issuance;1993-01-06;310.0;72.0;;;86.0;104.0;190.0;;120.0;1860.66;21398.98
19;2393;10;monthly issuance;1993-01-07;269.0;53.0;;;43.0;125.0;168.0;;101.0;4235.41;29812.45
20;3510;41;monthly issuance;1993-01-07;257.0;71.0;;;;138.0;114.0;24.0;119.0;14560.91;63550.1
21;1276;36;monthly issuance;1993-01-07;359.0;69.0;;;131.0;111.0;242.0;;117.0;2164.37;28817.73
22;1637;1;monthly issuance;1993-01-08;282.0;1.0;;48.0;86.0;99.0;185.0;;97.0;1879.9;21018.57
23;3871;26;monthly issuance;1993-01-08;278.0;1.0;;47.0;86.0;101.0;187.0;;91.0;1394.84;31728.46
24;192;55;monthly issuance;1993-01-08;224.0;1.0;;47.0;43.0;90.0;133.0;;91.0;2375.71;24884.81
25;764;1;monthly issuance;1993-01-08;231.0;1.0;;47.0;43.0;97.0;140.0;;91.0;2499.48;25916.31
26;2087;7;weekly issuance;1993-01-08;254.0;63.0;;;;143.0;131.0;12.0;111.0;11056.02;51021.29
27;2122;68;monthly issuance;1993-01-08;300.0;77.0;;;44.0;131.0;164.0;11.0;125.0;11371.85;53424.58
28;3592;54;monthly issuance;1993-01-08;233.0;1.0;;48.0;44.0;92.0;136.0;;97.0;2439.6;24212.85
29;3487;41;monthly issuance;1993-01-08;311.0;54.0;;;86.0;123.0;209.0;;102.0;5294.95;39620.24
30;435;38;monthly issuance;1993-01-08;218.0;1.0;;47.0;42.0;85.0;127.0;;91.0;2078.63;21261.99
31;1730;1;monthly issuance;1993-01-09;243.0;1.0;;47.0;43.0;107.0;150.0;;93.0;2452.83;32600.36
32;1493;41;monthly issuance;1993-01-09;272.0;1.0;;48.0;86.0;89.0;175.0;;97.0;1734.56;20052.22
33;374;38;monthly issuance;1993-01-09;233.0;5.0;;47.0;;134.0;126.0;8.0;99.0;10052.52;45461.49
34;2925;1;monthly issuance;1993-01-10;274.0;65.0;;;44.0;117.0;161.0;;113.0;2710.17;27691.84
35;866;9;monthly issuance;1993-01-10;411.0;53.0;;;172.0;138.0;310.0;;101.0;3229.24;35447.26
36;1628;60;monthly issuance;1993-01-10;216.0;1.0;;48.0;43.0;76.0;119.0;;97.0;1839.53;16891.95
37;2379;44;monthly issuance;1993-01-10;332.0;57.0;;;127.0;101.0;228.0;;104.0;1756.62;21099.28
38;1979;26;monthly issuance;1993-01-11;231.0;1.0;;47.0;42.0;98.0;140.0;;91.0;1170.34;20716.05
39;346;37;monthly issuance;1993-01-11;275.0;51.0;;;43.0;134.0;177.0;;98.0;7322.81;43195.55
40;1338;74;monthly issuance;1993-01-11;381.0;70.0;;;129.0;134.0;243.0;20.0;118.0;8149.23;46140.59
41;1909;14;monthly issuance;1993-01-12;317.0;1.0;;47.0;129.0;97.0;226.0;;91.0;915.52;19863.62
42;2099;3;weekly issuance;1993-01-12;262.0;71.0;;;;143.0;121.0;22.0;119.0;12460.13;60964.54
