card_id;disp_id;type;issued
813;5873;junior;1996-10-28
1014;9452;classic;1996-11-02
408;2560;classic;1996-12-10
1118;11393;classic;1997-01-02
565;3601;gold;1997-01-06
1173;12442;classic;1997-05-08
847;6610;classic;1997-05-20
1178;12542;classic;1997-06-19
280;1793;classic;1997-06-22
1138;11825;classic;1997-06-29
511;3257;junior;1997-08-06
140;798;classic;1997-08-22
355;2267;classic;1997-08-28
1115;11375;junior;1997-10-03
436;2759;classic;1997-10-09
45;272;classic;1997-12-05
891;7434;classic;1997-12-23
434;2739;classic;1997-12-30
517;3291;classic;1998-01-09
965;8636;classic;1998-04-02
1194;12781;junior;1998-04-30
17;127;classic;1998-06-07
623;3984;classic;1998-07-25
923;7855;classic;1998-09-24
53;333;classic;1998-10-13
