;account_id; account issuance freq;# transactions;# credit in cash transactions;# credit card withdrawal transactions;# collection from another bank withdrawal transactions;# remittance to another bank withdrawal transactions;# withdrawal in cash transactions;# type = withdrawal transactions;# type = withdrawal in cash transactions;# type = credit transactions;avg transaction amount;avg balance;loan date;loan amount;loan duration;loan payments;status;district_name;district_region;no. of inhabitants;ratio of urban inhabitants ;average salary ;no. of enterpreneurs per 1000 inhabitants ;crimes;unemploymant;card_type;birthdate;sex;has_disponent;age at loan;new status
0;5724;issuance after transaction;176.0;3.0;0.0;20.0;61.0;72.0;126.0;7.0;43.0;7217.39;40175.61;1997-01-08;232560;48;4845;;Ceske Budejovice;south Bohemia;177686;74.8;10045;135;6449.5;1.565;;1939-04-27;F;False;21076.0;
1;4456;monthly issuance;136.0;38.0;0.0;0.0;0.0;81.0;74.0;7.0;55.0;13228.34;76826.46;1998-02-09;321240;60;5354;;Ceske Budejovice;south Bohemia;177686;74.8;10045;135;6449.5;1.565;;1970-01-23;M;False;10244.0;
2;8381;monthly issuance;97.0;25.0;0.0;0.0;14.0;40.0;50.0;4.0;43.0;12692.52;61748.7;1997-07-25;333648;48;6951;;Ceske Budejovice;south Bohemia;177686;74.8;10045;135;6449.5;1.565;;1976-07-10;F;False;7685.0;
3;309;monthly issuance;99.0;21.0;0.0;0.0;0.0;60.0;60.0;;39.0;7918.74;30173.12;1998-11-25;91248;48;1901;;Ceske Budejovice;south Bohemia;177686;74.8;10045;135;6449.5;1.565;;1973-01-08;F;False;9452.0;
4;10351;monthly issuance;131.0;33.0;0.0;0.0;18.0;58.0;76.0;;55.0;2751.43;18675.06;1997-03-04;88704;48;1848;;Cheb;west Bohemia;87419;85.5;8624;102;3038.5;2.225;;1960-10-29;F;True;13275.0;
5;7890;monthly issuance;105.0;29.0;0.0;0.0;15.0;43.0;58.0;;47.0;2747.93;23918.49;1997-10-14;79344;48;1653;;Cheb;west Bohemia;87419;85.5;8624;102;3038.5;2.225;;1951-06-05;F;False;16933.0;
6;5358;monthly issuance;114.0;21.0;0.0;0.0;15.0;59.0;74.0;;40.0;9042.85;41735.42;1997-01-24;68340;60;1139;;Kladno;central Bohemia;149893;67.4;9753;109;5568.0;4.845;;1953-03-16;M;False;16020.0;
7;5267;monthly issuance;152.0;40.0;0.0;0.0;0.0;90.0;76.0;14.0;62.0;12539.06;45330.92;1997-11-26;129312;24;5388;;Kladno;central Bohemia;149893;67.4;9753;109;5568.0;4.845;;1973-10-20;F;False;8803.0;
8;10063;weekly issuance;49.0;2.0;0.0;8.0;16.0;16.0;32.0;;17.0;13561.89;54476.86;1997-06-24;233424;36;6484;;Kladno;central Bohemia;149893;67.4;9753;109;5568.0;4.845;;1959-02-17;M;False;14007.0;
9;11069;monthly issuance;119.0;23.0;0.0;0.0;0.0;75.0;71.0;4.0;44.0;6722.08;42572.41;1997-03-04;119136;48;2482;;Litomerice;north Bohemia;114006;62.3;9065;123;4156.5;4.925;;1963-05-15;F;False;12347.0;
